Column,Timestamp,Question 1: In which institution are you based?,Question 2: Which of the following roles apply to you? 1,Question 2: Which of the following roles apply to you? 2,Question 2: Which of the following roles apply to you? 3,Question 2: Which of the following roles apply to you? 4,Question 2: Which of the following roles apply to you? 5,Question 3: Which of the following disciplines best applies to your work?,Question 4: Which funder currently provides the majority of your funding?,Question 5: How many years have you worked in research?,Question 6: Do you use research software?,Question 7: What would happen if you could no longer use research software?,Question 8: Do you develop your own research software?,Question 9: Have you received any training in software development?,Question 10: Have you ever included costs for software development in a funding proposal?,Question 11: all data 1,Question 11: all data 2,Question 11: all data 3,Question 11: all data 4,Question 11: all data 5,Question 11: all data 6,Question 11: all data 7,Question 11: all data 8,Question 11: all data 9,Question 11: all data 10,Question 11: all data 11,Question 11: all data 12,Question 11: all data 13,Question 11: all data 14,Question 11: all data 15,Question 11: all data 16,Question 11: all data 17,Question 11: all data 18,Question 11: all data 19,Extra question 1: What is your job title?,Extra question 2: What is your gender?,Extra question 3: Are you employed on a permanent or fixed-term contract,Extra question 4: What is your preferred Operating System?,Q11_valid_data
148,10/17/2014 19:39:00,imperial college london,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project",lammps, castep, vasp,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Linux,True
149,10/18/2014 9:25:03,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes, arcgis, fledermaus, kingdom, promax, petromod, rokdoc, seisworks,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,,,,no response,True
150,10/18/2014 15:06:46,university of leeds,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,intel, pgi, netcdf, fortran, openmpi, mpi,grads,ferret, idl,etc, cesm,geov,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Permanent,Linux,True
151,10/19/2014 9:03:05,university of nottingham,I conduct research,,,,,Education,uk government,6-10 years,Yes,It would make no significant difference to my work,No,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project",dedoose,nvivo,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,researcher,Female,Fixed term,Mac OS X,True
152,10/19/2014 17:54:10,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,european union,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project",gpde, mgopt, hydra, openfoam, tapenade, dco, adol-c, hypre, trilinos, snopt,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Prefer not to say,Permanent,Linux,True
153,10/19/2014 18:52:28,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,No,matlab, visual studio,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Male,Fixed term,Microsoft Windows,True
154,10/20/2014 8:50:40,university of sheffield,I conduct research,,,,,"Medicine, dentistry & health",university central funds,1-5 years,Yes,It would make no significant difference to my work,No,No,I'm not involved in bid writing,spss, endnote,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Female,Fixed term,Mac OS X,True
155,10/20/2014 9:30:29,queen mary university of london,I conduct research,,,,,Social studies,esrc - economic and social research council,1-5 years,No,It would make no significant difference to my work,No,No,No,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Microsoft Windows,False
156,10/20/2014 9:36:25,university of glasgow,I support researchers,,,,,Social studies,esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No, java, python,r, stata,spss, bash, openrefine,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,other,Male,Fixed term,Linux,True
157,10/20/2014 9:43:57,university of nottingham,I conduct research,,,,,"Medicine, dentistry & health",nihr,15-20 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project",matlab,objectpascal, freesurfer,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,research fellow,Male,Fixed term,Don't have a preference,True
158,10/20/2014 9:48:31,university of glasgow,I conduct research,,,,,"Medicine, dentistry & health",don't know,15-20 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,ndipv4,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Female,Permanent,Microsoft Windows,True
159,10/20/2014 9:48:33,university of glasgow,I conduct research,,,,,"Medicine, dentistry & health",don't know,15-20 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,ndipv4,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Female,Permanent,Microsoft Windows,True
160,10/20/2014 9:49:47,queen mary university of london,I conduct research, I support researchers,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing, minitab,sigmaplot,matlab, microsoft excel, endnote, gimp,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
161,10/20/2014 9:50:55,queen's university belfast,I conduct research,,,,,Engineering & technology,european union,More than 20 years,Yes,"My work would require more effort, but it would still be possible",Yes,No,I'm not involved in bid writing,spss,nvivo,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
162,10/20/2014 9:51:00,university of bristol,I conduct research,,,,,"Medicine, dentistry & health",esrc - economic and social research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project",spss, amos, eqs, livecode,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
163,10/20/2014 10:11:41,university of nottingham,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Biological, mathematical & physical sciences",university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project", python,matlab,r, sage,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Linux,True
164,10/20/2014 10:13:57,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,root, mathematica,matlab, latex, comsol,labview,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,research fellow,Male,Fixed term,Linux,True
165,10/20/2014 10:19:07,university of sheffield,I conduct research,,,,,Administrative & business studies,university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,spss, amos,nvivo, microsoft excel,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Male,Prefer not to say,Microsoft Windows,True
166,10/20/2014 10:30:09,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,spss, volocity, microsoft excel, imagej, flir thermal imaging,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Female,Fixed term,Microsoft Windows,True
