Column,Timestamp,Question 1: In which institution are you based?,Question 2: Which of the following roles apply to you? 1,Question 2: Which of the following roles apply to you? 2,Question 2: Which of the following roles apply to you? 3,Question 2: Which of the following roles apply to you? 4,Question 2: Which of the following roles apply to you? 5,Question 3: Which of the following disciplines best applies to your work?,Question 4: Which funder currently provides the majority of your funding?,Question 5: How many years have you worked in research?,Question 6: Do you use research software?,Question 7: What would happen if you could no longer use research software?,Question 8: Do you develop your own research software?,Question 9: Have you received any training in software development?,Question 10: Have you ever included costs for software development in a funding proposal?,Question 11: all data 1,Question 11: all data 2,Question 11: all data 3,Question 11: all data 4,Question 11: all data 5,Question 11: all data 6,Question 11: all data 7,Question 11: all data 8,Question 11: all data 9,Question 11: all data 10,Question 11: all data 11,Question 11: all data 12,Question 11: all data 13,Question 11: all data 14,Question 11: all data 15,Question 11: all data 16,Question 11: all data 17,Question 11: all data 18,Question 11: all data 19,Extra question 1: What is your job title?,Extra question 2: What is your gender?,Extra question 3: Are you employed on a permanent or fixed-term contract,Extra question 4: What is your preferred Operating System?,Q11_valid_data
1,8/20/2014 15:33:45,ucl,I conduct research, I manage researchers or research projects,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,veda-fe,veda-be, answer, gams, microsoft excel,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Linux,True
3,8/20/2014 15:46:23,university of cardiff,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,Other,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project", microsoft excel,r, imagej, irfanview, bowtie,integrated genomics viewer, java tree view, samtools, cluster 3,  diprobase, ucsf chimera, meme,perl,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Linux,True
4,8/20/2014 15:47:48,university of cambridge,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,Less than a year,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,atlas.ti,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,,Female,Permanent,Microsoft Windows,True
5,8/20/2014 16:05:30,university of newcastle,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,r,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
6,8/20/2014 19:01:08,university of cardiff,I conduct research,,,,,"Biological, mathematical & physical sciences",university central funds,More than 20 years,No,"My work would require more effort, but it would still be possible",Yes,No,I'm not involved in bid writing,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Fixed term,Other,False
8,8/21/2014 10:14:10,university of cambridge,I conduct research, I develop software for researchers,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,libatoms, castep, molpro,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Male,Prefer not to say,Mac OS X,True
9,8/21/2014 10:16:32,university of cambridge,I conduct research, I manage researchers or research projects,,,,Engineering & technology,epsrc - engineering and physical sciences research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,materials studio,,, raspa, for gcmc simulations,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Other,True
10,8/21/2014 10:19:28,university of edinburgh,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",mrc - medical research council,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,No,, protein structural analysis, search engines, rna folding predictions,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Female,Permanent,Don't have a preference,True
11,8/21/2014 10:20:14,university of newcastle,I conduct research, I manage researchers or research projects,,,,Engineering & technology,don't know,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,hypermesh, ls dyna,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,researcher,Male,Fixed term,Microsoft Windows,True
12,8/21/2014 10:22:31,ucl,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project",matlab, mathematica, xmgrace,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,research fellow,Male,Fixed term,Mac OS X,True
13,8/21/2014 10:26:28,university of cardiff,I conduct research,,,,,"Biological, mathematical & physical sciences",don't know,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,Yes,graphpad prism, serial cloner, mathematica,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
14,8/21/2014 10:35:31,university of newcastle,I conduct research, I support researchers, I manage researchers or research projects,Other,,Engineering & technology,don't know,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - self taught using online resources or books,No,microsoft word, microsoft excel, microsoft powerpoint,microsoft outlook,google, adobe acrobat,spss, mendeley,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Permanent,Microsoft Windows,True
15,8/21/2014 10:35:52,university of cambridge,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,labview,matlab, origin, cryomeas ,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Microsoft Windows,True
16,8/21/2014 10:42:05,university of cardiff,I conduct research, I develop software for researchers,,,,"Medicine, dentistry & health",don't know,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,illumina genomestudio, plink,r,impute2,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,other,Male,Fixed term,Don't have a preference,True
17,8/21/2014 10:42:19,university of edinburgh,I conduct research,,,,,Humanities & language based studies & archaeology,university central funds,11-15 years,No,It would make no significant difference to my work,No,No,No,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Mac OS X,False
18,8/21/2014 10:54:24,university of cardiff,I conduct research,,,,,"Biological, mathematical & physical sciences",don't know,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,r, galaxy, plink, plink-seq, igv, samtools, gatk, haploview,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
19,8/21/2014 10:56:48,university of cardiff,I conduct research,,,,,Social studies,esrc - economic and social research council,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,nvivo,spss,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
20,8/21/2014 10:57:38,university of newcastle,I conduct research,,,,,Social studies,esrc - economic and social research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No, stata, stattransfer,sas,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Mac OS X,True
21,8/21/2014 11:14:46,university of cambridge,I conduct research,,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project", mathematica,r,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Mac OS X,True
22,8/21/2014 13:25:15,ucl,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,dmacrys, crystalpredictor, crystaloptimizer, gaussian, molpak, gdma, cambridge crystallographic data centre programs, castep, camcasp, gulp, marvin,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Female,Permanent,Linux,True
23,8/21/2014 13:40:40,university of edinburgh,I conduct research, I support researchers,,,,Humanities & language based studies & archaeology,don't know,More than 20 years,No,It would make no significant difference to my work,No,Yes - self taught using online resources or books,No,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,reader,Male,Permanent,Microsoft Windows,False
24,8/21/2014 13:48:35,university of newcastle,I conduct research, I manage researchers or research projects,,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,"Yes - a taught course, Yes - self taught using online resources or books",No,spss,r,labview,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
26,8/21/2014 14:02:03,ucl,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,matlab,plastimatch,many others,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Male,Fixed term,Linux,True
27,8/21/2014 14:08:36,ucl,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,"No, but we expected to develop software as part of the project", python, python, gdal, shell scripts, fortran, c,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Linux,True
28,8/21/2014 14:13:43,university of cambridge,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,igor pro,labview,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Male,Fixed term,Mac OS X,True
29,8/21/2014 14:35:48,university of cambridge,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes, genstat, rstudio, minitab,matlab, gimp, zotero, endnote, sap2011, filezilla, gnuplot, qtiplot,spss, spike2,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Microsoft Windows,True
30,8/21/2014 15:15:36,ucl,I conduct research,,,,,Social studies,university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing, stata,r,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Microsoft Windows,True
31,8/21/2014 16:21:28,ucl,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",don't know,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project",matlab, python, graphlab,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Mac OS X,True
32,8/21/2014 17:42:15,university of cambridge,I conduct research,,,,,Administrative & business studies,university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,No,bloomberg, datastream, factiva,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Microsoft Windows,True
33,8/21/2014 17:58:22,university of cambridge,I conduct research, I support researchers,,,,"Biological, mathematical & physical sciences",mrc - medical research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,flowjo, enzymex, primer, ape, blast, imagej,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Male,Fixed term,Mac OS X,True
34,8/22/2014 0:00:40,university of cambridge,I conduct research,,,,,"Biological, mathematical & physical sciences",esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No, mplus,superlab ,spss, microsoft excel,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Mac OS X,True
35,8/22/2014 10:12:31,university of cardiff,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",mrc - medical research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,spss,nvivo,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
36,8/22/2014 10:16:12,ucl,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",mrc - medical research council,11-15 years,Yes,It would not be practical to conduct my work without software,No,No,Yes,graphpad prism, adobe illustrator, winlist, rotorgene 6, microsoft excel, ape, facs diva, adobe photoshop, rest2009,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Permanent,Microsoft Windows,True
37,8/22/2014 10:17:05,university of edinburgh,I conduct research, I manage researchers or research projects,,,,Humanities & language based studies & archaeology,esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,r,, clan, elan,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Fixed term,Mac OS X,True
38,8/22/2014 10:17:57,university of cambridge,I conduct research, I support researchers, I develop software for researchers,,,"Medicine, dentistry & health",mrc - medical research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,r,spss, microsoft excel, spm,matlab,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Female,Fixed term,Microsoft Windows,True
39,8/22/2014 10:18:00,university of cardiff,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project",matlab, idl,labview,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Microsoft Windows,True
40,8/22/2014 10:31:38,university of cambridge,I conduct research,,,,,"Biological, mathematical & physical sciences",don't know,11-15 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,graphpad prism, genespring, photoshop, endnote,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Fixed term,Mac OS X,True
41,8/22/2014 10:49:11,university of cambridge,I conduct research,Other,,,,"Medicine, dentistry & health",university central funds,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No, imagej, osirix ,pacs systems,matlab,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Fixed term,Mac OS X,True
42,8/22/2014 10:49:26,university of cambridge,I conduct research,,,,,Engineering & technology,don't know,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,matlab, python, ocaml, shell scripts,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Male,Fixed term,Linux,True
43,8/22/2014 10:58:52,university of cardiff,I conduct research,,,,,Humanities & language based studies & archaeology,esrc - economic and social research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,antconc, microsoft excel,r, bristol online survey,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Female,Permanent,Mac OS X,True
44,8/22/2014 11:04:27,university of cambridge,I conduct research,,,,,Engineering & technology,university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,tecplot, paraview, ansys,fortran ,matlab,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Male,Fixed term,Microsoft Windows,True
45,8/22/2014 11:16:09,university of newcastle,I support researchers,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,gnss processing,image analysis,lidar,ir,thermal,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,technician,Male,Permanent,Don't have a preference,True
46,8/22/2014 12:15:47,university of cambridge,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",wellcome trust,11-15 years,Yes,It would not be practical to conduct my work without software,No,"Yes - self taught using online resources or books, No",No,ccp4, phenix, diamond light source control software, coot, pymol, prism,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,principal investigator,Female,Fixed term,Microsoft Windows,True
47,8/22/2014 12:24:39,university of cardiff,I conduct research,,,,,"Biological, mathematical & physical sciences",wellcome trust,Less than a year,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,I'm not involved in bid writing,beast, baps, raxml, fasttree, blast, artemis, dendroscope, path-o-gen,r, velvet, smalt, samtools, muscle,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Fixed term,Don't have a preference,True
48,8/22/2014 12:39:57,university of newcastle,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",esrc - economic and social research council,11-15 years,Yes,It would make no significant difference to my work,No,No,No,nvivo, cmap,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Fixed term,Mac OS X,True
49,8/22/2014 13:01:29,university of edinburgh,I support researchers,,,,,Education,esrc - economic and social research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,nvivo,spss, snap,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,other,Female,Fixed term,Microsoft Windows,True
50,8/22/2014 13:02:57,university of edinburgh,I conduct research,,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,Yes,matlab, omero, imagej, prism,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,other,Female,Fixed term,Mac OS X,True
51,8/22/2014 13:22:19,university of cambridge,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,onetep, castep,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,research fellow,Male,Permanent,Linux,True
52,8/22/2014 13:30:56,university of newcastle,I conduct research, I support researchers, I develop software for researchers,,,"Medicine, dentistry & health",mrc - medical research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,matlab,spss, microsoft excel,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
53,8/22/2014 13:32:56,university of edinburgh,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",university central funds,15-20 years,Yes,It would not be practical to conduct my work without software,No,No,No,sas, microsoft excel, nquery, minitab,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,reader,Female,Permanent,Microsoft Windows,True
55,8/22/2014 13:44:48,university of edinburgh,I conduct research,,,,,Education,don't know,15-20 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,nvivo,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Prefer not to say,Mac OS X,True
56,8/22/2014 13:46:46,ucl,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",wellcome trust,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,spss,matlab, eprime,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
57,8/22/2014 14:06:04,university of cardiff,I conduct research,,,,,Social studies,"other foundation, society or charity",6-10 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - a taught course,No, endnote,nvivo,spss,r,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
58,8/22/2014 14:38:02,university of cardiff,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences","other foundation, society or charity",More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,No, origin,matlab,sigmaplot, pymol, discovery studio visualizer,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Microsoft Windows,True
59,8/22/2014 14:48:15,university of newcastle,I conduct research,,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,11-15 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,No, python, fortran, sage, idl,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Mac OS X,True
61,8/22/2014 15:17:26,ucl,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Social studies,esrc - economic and social research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,matlab, stata,r, fortran, microsoft excel,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,reader,Male,Permanent,Linux,True
62,8/22/2014 15:20:32,ucl,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",mrc - medical research council,11-15 years,Yes,It would not be practical to conduct my work without software,No,Yes - a taught course,"No, but we expected to develop software as part of the project",nonmem,berkeley-madonna, winbugs,poped,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,other,Male,Permanent,Linux,True
63,8/22/2014 15:21:10,ucl,I manage researchers or research projects,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes, microsoft excel, xlstat, grams, unscrambler,r, origin,spss,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Don't have a preference,True
64,8/22/2014 15:26:00,university of cardiff,I conduct research,,,,,Social studies,"other foundation, society or charity",6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,spss,nvivo,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
65,8/22/2014 15:41:40,university of edinburgh,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",wellcome trust,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,No,image pro plus, lasergene, gentle, imagej,r, bioconductor, seqmonk, igv genome browser, galaxy, omero,perl, tinnr,cygwin, cytoscape, knime, photoshop, illustrator,microsoft office, open office,reader,Male,Permanent,Mac OS X,True
66,8/22/2014 15:59:11,university of edinburgh,I manage researchers or research projects,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes, imagej, metamorph,matlab, copasi, sbsi, biodare, mapqtl,,online data ,wok, pubmed, tair, aramine, diurnal, biomodels, jws online,,blank_response,blank_response,other,Male,Permanent,Microsoft Windows,True
