Column,Timestamp,Question 1: In which institution are you based?,Question 2: Which of the following roles apply to you? 1,Question 2: Which of the following roles apply to you? 2,Question 2: Which of the following roles apply to you? 3,Question 2: Which of the following roles apply to you? 4,Question 2: Which of the following roles apply to you? 5,Question 3: Which of the following disciplines best applies to your work?,Question 4: Which funder currently provides the majority of your funding?,Question 5: How many years have you worked in research?,Question 6: Do you use research software?,Question 7: What would happen if you could no longer use research software?,Question 8: Do you develop your own research software?,Question 9: Have you received any training in software development?,Question 10: Have you ever included costs for software development in a funding proposal?,Question 11: Please provide the name(s) of the main research software you use.,Question 11: all data,Extra question 1: What is your job title?,Extra question 2: What is your gender?,Extra question 3: Are you employed on a permanent or fixed-term contract,Extra question 4: What is your preferred Operating System?,Q11_valid_data
,,,,,,,,,,,,,,,,, mantid,,,,,
,,,,,,,,,,,,,,,,, genie,,,,,
97,8/28/2014 13:18:27,university of edinburgh,I conduct research,,,,,"Biological, mathematical & physical sciences",university central funds,1-5 years,Yes,It would make no significant difference to my work,No,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"Matlab,GP/pari",matlab,postdoctoral researcher,Male,Fixed term,Don't have a preference,True
,,,,,,,,,,,,,,,,,gp/pari,,,,,
98,8/29/2014 12:57:04,ucl,I conduct research,,,,,Social studies,european union,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,"VEDA, ANSWER, Excel, SPSS, MCM Mapper, Plot Digitizer, NVivo",veda,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, answer,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,, mcm mapper,,,,,
,,,,,,,,,,,,,,,,, plot digitizer,,,,,
,,,,,,,,,,,,,,,,,nvivo,,,,,
99,9/1/2014 10:11:11,university of edinburgh,I conduct research, I manage researchers or research projects,,,,"Agriculture, forestry & veterinary science",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"R, Python, Matlab, IDL, QGIS",r,lecturer,Male,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,, python,,,,,
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,, idl,,,,,
,,,,,,,,,,,,,,,,, qgis,,,,,
100,9/1/2014 11:52:11,university of cambridge,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,,,,Male,Fixed term,Mac OS X,False
101,9/1/2014 17:38:48,ucl,I conduct research,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,"No, but we expected to develop software as part of the project","Matlab , IDL.,Excel is used for making quick graphs from data tables but not for publishable figures",matlab,postdoctoral researcher,Male,Fixed term,Don't have a preference,True
,,,,,,,,,,,,,,,,, idl,,,,,
,,,,,,,,,,,,,,,,,microsoft excel,,,,,
102,9/1/2014 20:31:03,university of cambridge,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,non-uk government,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","matlab, gummi, latex, python",matlab,phd student,Male,Fixed term,Don't have a preference,True
,,,,,,,,,,,,,,,,, gummi,,,,,
,,,,,,,,,,,,,,,,, latex,,,,,
,,,,,,,,,,,,,,,,, python,,,,,
103,9/4/2014 13:02:02,university of edinburgh,I conduct research,,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"FLEx, praat",flex,phd student,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, praat,,,,,
104,10/14/2014 11:10:25,ucl,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,"Matlab, LabVIEW, Excel, ImageJ, own-developed Fortran",matlab,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,labview,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,, imagej,,,,,
,,,,,,,,,,,,,,,,,fortran,,,,,
105,10/14/2014 15:31:01,university of cardiff,I conduct research, I support researchers,,,,"Medicine, dentistry & health",wellcome trust,11-15 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"Excel, Prism, ImageJ, Flow Jo", microsoft excel,phd student,Female,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,, prism,,,,,
,,,,,,,,,,,,,,,,, imagej,,,,,
,,,,,,,,,,,,,,,,,flowjo,,,,,
107,10/17/2014 9:43:40,university of sheffield,I conduct research,,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,1-5 years,No,It would make no significant difference to my work,No,No,No,,,phd student,Female,Fixed term,Microsoft Windows,False
108,10/17/2014 9:50:28,imperial college london,I conduct research, I support researchers, I manage researchers or research projects,,,Engineering & technology,epsrc - engineering and physical sciences research council,15-20 years,Yes,It would not be practical to conduct my work without software,No,No,"No, but we expected to develop software as part of the project","origin, kaleidograph, sansview, athena , various in-house python routines, imageJ", origin,professor,Female,Permanent,Don't have a preference,True
,,,,,,,,,,,,,,,,, kaleidagraph,,,,,
,,,,,,,,,,,,,,,,, sansview,,,,,
,,,,,,,,,,,,,,,,, athena ,,,,,
,,,,,,,,,,,,,,,,,python,,,,,
,,,,,,,,,,,,,,,,, imagej,,,,,
109,10/17/2014 10:49:22,university of birmingham,I conduct research,,,,,"Medicine, dentistry & health",industry,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,No,"MEDcalc, IPA, David, SPSS, Galaxy, SAM, R, ",medcalc,lecturer,Female,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,, ipa,,,,,
,,,,,,,,,,,,,,,,, david,,,,,
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,, galaxy,,,,,
,,,,,,,,,,,,,,,,, sam,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,,,,,,,
110,10/17/2014 10:52:08,university of bristol,I conduct research,,,,,Engineering & technology,industry,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"Visual Studio,Matlab,Autodesk Inventor", visual studio,phd student,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,,autodesk inventor,,,,,
111,10/17/2014 11:14:53,university of liverpool,I conduct research,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"R, Linux code",r,postdoctoral researcher,Male,Fixed term,Don't have a preference,True
,,,,,,,,,,,,,,,,, linux,,,,,
112,10/17/2014 11:19:18,university of nottingham,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Medicine, dentistry & health",mrc - medical research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","MatLab, FSL, SPSS, STATA",matlab,other,Female,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,, fsl,,,,,
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,, stata,,,,,
113,10/17/2014 11:19:21,university of nottingham,I conduct research,,,,,"Medicine, dentistry & health",university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,No,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"Excel,SPSS,nVIVO,RevMan/Review Manager", microsoft excel,phd student,Female,Prefer not to say,Microsoft Windows,True
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,,nvivo,,,,,
,,,,,,,,,,,,,,,,,revman,,,,,
114,10/17/2014 11:19:24,university of bristol,I conduct research, I support researchers,,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Matlab,Labview,Control Desk ,Maple,",matlab,postdoctoral researcher,Male,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,,labview,,,,,
,,,,,,,,,,,,,,,,,control desk ,,,,,
,,,,,,,,,,,,,,,,, maple,,,,,
,,,,,,,,,,,,,,,,,,,,,,
115,10/17/2014 11:36:35,university of liverpool,I conduct research,,,,,Humanities & language based studies & archaeology,self funded,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,,,research fellow,Male,Prefer not to say,Microsoft Windows,False
116,10/17/2014 11:50:45,queen's university belfast,I support researchers, I manage researchers or research projects,,,,"Medicine, dentistry & health",european union,11-15 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"SPSS,",spss,other,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,,,,,,
117,10/17/2014 11:56:22,university of leeds,I conduct research,,,,,Humanities & language based studies & archaeology,don't know,1-5 years,No,It would make no significant difference to my work,No,No,No,,,phd student,Male,Prefer not to say,Microsoft Windows,False
118,10/17/2014 11:58:40,university of sheffield,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,mathematica, mathematica,professor,Female,Permanent,Microsoft Windows,True
119,10/17/2014 11:59:07,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,Mathematica, mathematica,phd student,Female,Fixed term,Mac OS X,True
120,10/17/2014 12:00:02,imperial college london,I manage researchers or research projects,,,,,"Biological, mathematical & physical sciences",wellcome trust,11-15 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"Simple PCI, Graphpad Prism, Abi PRISM 7700",simple pci,lecturer,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,graphpad prism,,,,,
,,,,,,,,,,,,,,,,, abi prism 7700,,,,,
121,10/17/2014 12:01:12,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,"R, RStudio, Excel,",r,phd student,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, rstudio,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,,,,,,,
122,10/17/2014 12:01:40,university of birmingham,I conduct research,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,"Matlab, ArcGIS, Minitab, GlobalMapper, GoogleEarth, Caris, The Kingdom Software",matlab,postdoctoral researcher,Prefer not to say,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, arcgis,,,,,
,,,,,,,,,,,,,,,,, minitab,,,,,
,,,,,,,,,,,,,,,,, globalmapper,,,,,
,,,,,,,,,,,,,,,,,google earth,,,,,
,,,,,,,,,,,,,,,,, caris,,,,,
,,,,,,,,,,,,,,,,,kingdom,,,,,
123,10/17/2014 12:07:13,university of birmingham,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"Matlab, OriginPro, Labview, QTIplot, Excel. ",matlab,research fellow,Male,Fixed term,Don't have a preference,True
,,,,,,,,,,,,,,,,, originpro,,,,,
,,,,,,,,,,,,,,,,,labview,,,,,
,,,,,,,,,,,,,,,,, qtiplot,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
124,10/17/2014 12:14:57,university of birmingham,I conduct research,,,,,Humanities & language based studies & archaeology,university central funds,More than 20 years,Yes,It would make no significant difference to my work,No,No,No,,,professor,Male,Permanent,Don't have a preference,False
125,10/17/2014 12:15:20,imperial college london,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would make no significant difference to my work,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"Fenics, doflin-adjoint, OpenTidalFarm",fenics,phd student,Male,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,, doflin-adjoint,,,,,
,,,,,,,,,,,,,,,,, opentidalfarm,,,,,
126,10/17/2014 12:18:17,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"Cape-Open Flowsheeting Environment ,Berkeley-Madonna,Gaussian,Pymol,Sketchup,Labview,Python 3,MestraNova,Chem Station,ChemDraw,Origin,MS Excel,MS Word,MS Powerpoint,",cape-open flowsheeting environment ,postdoctoral researcher,Male,Fixed term,Don't have a preference,True
,,,,,,,,,,,,,,,,,berkeley-madonna,,,,,
,,,,,,,,,,,,,,,,, gaussian,,,,,
,,,,,,,,,,,,,,,,, pymol,,,,,
,,,,,,,,,,,,,,,,,sketchup,,,,,
,,,,,,,,,,,,,,,,,labview,,,,,
,,,,,,,,,,,,,,,,, python,,,,,
,,,,,,,,,,,,,,,,,mestrenova,,,,,
,,,,,,,,,,,,,,,,,chem station,,,,,
,,,,,,,,,,,,,,,,,chemdraw,,,,,
,,,,,,,,,,,,,,,,, origin,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,,microsoft word,,,,,
,,,,,,,,,,,,,,,,, microsoft powerpoint,,,,,
,,,,,,,,,,,,,,,,,,,,,,
127,10/17/2014 12:21:42,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,"MATLAB, OriginPro",matlab,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, originpro,,,,,
128,10/17/2014 12:21:45,queen's university belfast,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",mrc - medical research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"Matlab, PASW/SPSS, STATA, nVivo",matlab,research fellow,Prefer not to say,Fixed term,Don't have a preference,True
,,,,,,,,,,,,,,,,, pasw/spss,,,,,
,,,,,,,,,,,,,,,,, stata,,,,,
,,,,,,,,,,,,,,,,,nvivo,,,,,
129,10/17/2014 12:24:54,university of nottingham,I manage researchers or research projects,,,,,"Agriculture, forestry & veterinary science",non-uk government,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,No,"Blast , Clustal at NCBI ", blast,professor,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,, clustal at ncbi ,,,,,
130,10/17/2014 13:10:40,university of glasgow,I conduct research, I develop software for researchers,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"COSA, OPENFOAM",cosa,postdoctoral researcher,Male,Fixed term,Linux,True
,,,,,,,,,,,,,,,,, openfoam,,,,,
131,10/17/2014 13:16:56,university of bristol,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",mrc - medical research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"Endnote, STATA", endnote,postdoctoral researcher,Female,Fixed term,Don't have a preference,True
,,,,,,,,,,,,,,,,, stata,,,,,
132,10/17/2014 13:47:09,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,Less than a year,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"Mathematica, Matlab", mathematica,phd student,Female,Prefer not to say,Microsoft Windows,True
,,,,,,,,,,,,,,,,,matlab,,,,,
133,10/17/2014 13:58:58,university of leeds,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","R, C++, my own software written in R or C++",r,lecturer,Male,Permanent,Linux,True
,,,,,,,,,,,,,,,,, c++,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
134,10/17/2014 14:12:56,university of glasgow,I conduct research,,,,,Social studies,esrc - economic and social research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"Excel, R, Mendeley, Word, GitHub.", microsoft excel,research fellow,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, mendeley,,,,,
,,,,,,,,,,,,,,,,,microsoft word,,,,,
,,,,,,,,,,,,,,,,, github,,,,,
135,10/17/2014 14:18:37,university of birmingham,I conduct research, I develop software for researchers,,,,Humanities & language based studies & archaeology,european union,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"collateX, everything else developed in house", collatex,postdoctoral researcher,Female,Fixed term,Linux,True
,,,,,,,,,,,,,,,,,,,,,,
136,10/17/2014 14:43:05,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"MATLAB,LabView,Arduino IDE, C++,python ",matlab,phd student,Male,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,,labview,,,,,
,,,,,,,,,,,,,,,,,arduino ide,,,,,
,,,,,,,,,,,,,,,,, c++,,,,,
,,,,,,,,,,,,,,,,, python,,,,,
137,10/17/2014 15:00:17,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"IGOR Pro, Origin, Matlab, Proprietary spectroscopy software, Latex",igor pro,phd student,Male,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,, origin,,,,,
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, latex,,,,,
138,10/17/2014 15:11:03,university of nottingham,I conduct research, I support researchers, I develop software for researchers,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,No,,,lecturer,Male,Fixed term,Linux,False
139,10/17/2014 15:14:38,university of nottingham,I conduct research,,,,,"Agriculture, forestry & veterinary science",mixed funding,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS, MLwiN",spss,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, mlwin,,,,,
140,10/17/2014 15:17:15,imperial college london,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,industry,15-20 years,Yes,"My work would require more effort, but it would still be possible",Yes,No,"No, but we expected to develop software as part of the project","Have developed my own, which External organisations use.",,lecturer,Male,Permanent,Linux,True
,,,,,,,,,,,,,,,,,,,,,,
141,10/17/2014 15:44:43,university of glasgow,I conduct research, I develop software for researchers,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,No,,,postdoctoral researcher,Male,Fixed term,Mac OS X,False
142,10/17/2014 15:53:32,university of birmingham,I conduct research, I manage researchers or research projects,Other,,,"Biological, mathematical & physical sciences",esrc - economic and social research council,11-15 years,Yes,It would not be practical to conduct my work without software,No,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"SPSS,Bespoke experimental packages",spss,reader,Female,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,,,,,,
143,10/17/2014 16:10:55,university of sheffield,I conduct research,,,,,Humanities & language based studies & archaeology,university central funds,1-5 years,No,It would make no significant difference to my work,No,No,No,,,lecturer,Male,Fixed term,Microsoft Windows,False
144,10/17/2014 16:29:20,queen's university belfast,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",nihr,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"Microsoft office, SPSS, stata, Matlab, R, Prism, ",microsoft office,lecturer,Female,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,, stata,,,,,
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, prism,,,,,
,,,,,,,,,,,,,,,,,,,,,,
145,10/17/2014 16:47:58,university of glasgow,I conduct research,,,,,Humanities & language based studies & archaeology,university central funds,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,Yes,"oXygen,XML",oxygen,lecturer,Female,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,xml,,,,,
146,10/17/2014 17:06:48,university of birmingham,I conduct research, I manage researchers or research projects,,,,Social studies,epsrc - engineering and physical sciences research council,11-15 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,NVivo,nvivo,lecturer,Female,Permanent,Microsoft Windows,True
147,10/17/2014 17:22:38,university of leeds,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",nihr,More than 20 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,No,"SPSS, Bristol Online Survey, Excel",spss,professor,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,, bristol online survey,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
148,10/17/2014 19:39:00,imperial college london,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","LAMMPS, CASTEP, VASP,My group has written a lot of software that is not available elsewhere",lammps,professor,Male,Permanent,Linux,True
,,,,,,,,,,,,,,,,, castep,,,,,
,,,,,,,,,,,,,,,,, vasp,,,,,
,,,,,,,,,,,,,,,,,,,,,,
149,10/18/2014 9:25:03,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,"Arc-gis, fledermaus, Kingdom, promax, petromod, rokdoc, seisworks,As many in-house codes", arcgis,,,,no response,True
,,,,,,,,,,,,,,,,, fledermaus,,,,,
,,,,,,,,,,,,,,,,, kingdom,,,,,
,,,,,,,,,,,,,,,,, promax,,,,,
,,,,,,,,,,,,,,,,, petromod,,,,,
,,,,,,,,,,,,,,,,, rokdoc,,,,,
,,,,,,,,,,,,,,,,, seisworks,,,,,
,,,,,,,,,,,,,,,,,,,,,,
150,10/18/2014 15:06:46,university of leeds,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"intel, pgi, netcdf, fortran, openmpi,MPI,grads,ferret, idl,etc, CESM,geov",intel,postdoctoral researcher,Male,Permanent,Linux,True
,,,,,,,,,,,,,,,,, pgi,,,,,
,,,,,,,,,,,,,,,,, netcdf,,,,,
,,,,,,,,,,,,,,,,, fortran,,,,,
,,,,,,,,,,,,,,,,, openmpi,,,,,
,,,,,,,,,,,,,,,,, mpi,,,,,
,,,,,,,,,,,,,,,,,grads,,,,,
,,,,,,,,,,,,,,,,,ferret,,,,,
,,,,,,,,,,,,,,,,, idl,,,,,
,,,,,,,,,,,,,,,,,etc,,,,,
,,,,,,,,,,,,,,,,, cesm,,,,,
,,,,,,,,,,,,,,,,,geov,,,,,
151,10/19/2014 9:03:05,university of nottingham,I conduct research,,,,,Education,uk government,6-10 years,Yes,It would make no significant difference to my work,No,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","dedoose, nvivo ",dedoose,researcher,Female,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,,nvivo,,,,,
152,10/19/2014 17:54:10,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,european union,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","gpde, mgopt, hydra, openfoam, tapenade, dco, adol-c, hypre, trilinos, snopt",gpde,lecturer,Prefer not to say,Permanent,Linux,True
,,,,,,,,,,,,,,,,, mgopt,,,,,
,,,,,,,,,,,,,,,,, hydra,,,,,
,,,,,,,,,,,,,,,,, openfoam,,,,,
,,,,,,,,,,,,,,,,, tapenade,,,,,
,,,,,,,,,,,,,,,,, dco,,,,,
,,,,,,,,,,,,,,,,, adol-c,,,,,
,,,,,,,,,,,,,,,,, hypre,,,,,
,,,,,,,,,,,,,,,,, trilinos,,,,,
,,,,,,,,,,,,,,,,, snopt,,,,,
153,10/19/2014 18:52:28,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,No,"MATLAB, Visual Studio",matlab,phd student,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, visual studio,,,,,
154,10/20/2014 8:50:40,university of sheffield,I conduct research,,,,,"Medicine, dentistry & health",university central funds,1-5 years,Yes,It would make no significant difference to my work,No,No,I'm not involved in bid writing,"SPSS, Endnote",spss,phd student,Female,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,, endnote,,,,,
155,10/20/2014 9:30:29,queen mary university of london,I conduct research,,,,,Social studies,esrc - economic and social research council,1-5 years,No,It would make no significant difference to my work,No,No,No,,,lecturer,Male,Permanent,Microsoft Windows,False
156,10/20/2014 9:36:25,university of glasgow,I support researchers,,,,,Social studies,esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"java, python, R, STATA, SPSS, bash, OpenRefine, ", java,other,Male,Fixed term,Linux,True
,,,,,,,,,,,,,,,,, python,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, stata,,,,,
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,, bash,,,,,
,,,,,,,,,,,,,,,,, openrefine,,,,,
,,,,,,,,,,,,,,,,,,,,,,
157,10/20/2014 9:43:57,university of nottingham,I conduct research,,,,,"Medicine, dentistry & health",nihr,15-20 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Matlab,ObjectPascal, FreeSurfer. MS-Excel/LibreOffice-Calc",matlab,research fellow,Male,Fixed term,Don't have a preference,True
,,,,,,,,,,,,,,,,,objectpascal,,,,,
,,,,,,,,,,,,,,,,, freesurfer,,,,,
158,10/20/2014 9:48:31,university of glasgow,I conduct research,,,,,"Medicine, dentistry & health",don't know,15-20 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"NDIPv4 written by ATOS Origin [belongs to NHS Scotl,]",ndipv4,lecturer,Female,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,,,,,,
